hashtags,user_favorites
TexasFreeze,106
TexasWinterStorm2021,3870
TexasFreeze,771
TexasStrong,136212
TexasWinterStorm2021,19478
TexasFreeze,58606
TexasFreeze,78877
TexasFreeze,45583
TexasFreeze,179397
TexasFreeze,127272
TexasFreeze,46346
TexasFreeze,199868
TexasStrong,411158
TexasFreeze,369589
TexasFreeze,33107
TexasFreeze,56057
TexasFreeze,669
TexasBlackout,25126
dumptedcruz,16605
GOPCorruptionOverCountry,16605
TexasBlackout,16605
TexasFreeze,761681
TexasStrong,54167
TexasFreeze,106420
TexasFreeze,377809
TexasFreeze,14911
TexasStrong,11204
TexasFreeze,10574
TexasStrong,171870
TexasFreeze,134987
TexasFreeze,22346
TexasFreeze,105963
TexasBlackout,466733
TexasStrong,53195
TexasFreeze,132867
TexasFreeze,156279
TexasFreeze,90703
TexasFreeze,20242
TexasFreeze,39546
TexasFreeze,272094
TexasStrong,129685
txwx,5792
TexasStrong,24660
txwx,121106
TexasStrong,1074
TexasPowerOutages,137613
TexasStrong,137613
TexasFreeze,1974
txwx,6691
TexasStrong,86500
TexasFreeze,21651
TexasStrong,9764
TexasFreeze,25839
TexasFreeze,60285
TexasFreeze,8910
TexasStrong,11050
TexasFreeze,33186
TexasFreeze,22470
TexasFreeze,92694
TexasFreeze,75549
TexasStrong,37365
TexasFreeze,88412
TexasFreeze,19536
TexasFreeze,13184
TexasStrong,164734
TexasFreeze,91061
TexasFreeze,136981
TexasFreeze,68031
TexasFreeze,86457
Texas,66995
TexasWinterStorm2021,211238
TexasStrong,35302
TexasFreeze,326001
TexasFreeze,220087
TexasFreeze,14070
TexasStrong,60180
TexasFreeze,109342
TexasStrong,60181
TexasFreeze,5093
TexasStrong,61840
fishing,12443
TexasStrong,34428
TexasFreeze,42463
TexasFreeze,3401
TexasFreeze,11209
TexasFreeze,61286
TexasFreeze,19842
TexasFreeze,319871
TexasFreeze,285699
TexasFreeze,20482
TexasFreeze,3401
TexasStrong,88984
TexasStrong,40063
TexasStrong,266053
fishing,0
TexasStrong,37675
TexasFreeze,246617
TexasPowerOutages,121684
TexasStrong,121684
TexasFreeze,85403
TexasFreeze,474387
TexasStrong,101036
TexasFreeze,1095
TexasFreeze,84083
TexasFreeze,156505
TexasFreeze,3627
TexasWinterStorm2021,11728
TexasFreeze,39369
TexasFreeze,734642
TexasStrong,86680
TexasStrong,5094
TexasFreeze,10510
TexasFreeze,10628
TexasStrong,6635
TexasFreeze,4993
TexasFreeze,9709
TexasStrong,17863
Texas,106612
TexasStrong,28942
TexasStrong,114400
TexasStrong,7023
TexasFreeze,155940
TexasStrong,241554
TexasFreeze,16818
TexasStrong,180746
TexasFreeze,125129
TexasBlackout,34219
TexasStrong,184587
TexasStrong,49322
TexasStrong,106618
TexasFreeze,322096
TexasFreeze,272662
TexasFreeze,665458
TexasFreeze,65501
TexasFreeze,3627
TexasFreeze,466764
TexasFreeze,822
TexasWeather,118308
TexasStrong,221429
TexasFreeze,144694
TexasStrong,277248
txwx,124097
TexasFreeze,13052
TexasStrong,105864
TexasFreeze,9797
TexasStrong,52544
TexasFreeze,512986
TexasStrong,178837
TexasStrong,4786
TexasStrong,169137
TexasWinterStorm2021,40111
TexasStrong,12303
TexasStrong,607466
TexasFreeze,28089
TexasFreeze,6102
TexasFreeze,221319
TexasFreeze,27094
TexasStrong,49142
TexasBlackout,48536
TexasFreeze,144805
TexasFreeze,62438
txwx,64952
TexasStrong,22748
TexasFreeze,111874
TexasWinterStorm2021,3514
TexasStrong,90558
TexasFreeze,5303
TexasStrong,47957
TexasFreeze,109457
TexasFreeze,33573
TexasFreeze,403224
TexasFreeze,56690
TexasStrong,1068
txwx,11992
TexasStrong,466783
TexasStrong,260897
TexasStrong,379606
TexasFreeze,21446
TexasFreeze,40572
TexasStrong,226767
TexasFreeze,4478
TexasBlackout,12476
Texas,12476
TexasPowerOutages,164759
TexasStrong,164759
TexasFreeze,164759
